Powiat,URL
Powiat sulęciński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/80700
Powiat świebodziński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/80800
Powiat zielonogórski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/80900
Powiat żagański,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/81000
Powiat żarski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/81100
Powiat wschowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/81200
Miasto na prawach powiatu Gorzów Wielkopolski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/86100
Miasto na prawach powiatu Zielona Góra,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/86200
Powiat łódzki wschodni,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/100600
Powiat brzeziński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/102100
Miasto na prawach powiatu Łódź,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/106100
Powiat bełchatowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/100100
Powiat opoczyński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/100700
Powiat piotrkowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/101000
Powiat radomszczański,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/101200
Powiat rawski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/101300
Powiat skierniewicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/101500
Powiat tomaszowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/101600
Miasto na prawach powiatu Piotrków Trybunalski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/106200
Miasto na prawach powiatu Skierniewice,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/106300
Powiat kutnowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/100200
Powiat łaski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/100300
Powiat łęczycki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/100400
Powiat łowicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/100500
Powiat pabianicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/100800
Powiat pajęczański,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/100900
Powiat poddębicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/101100
Powiat sieradzki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/101400
Powiat wieluński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/101700
Powiat wieruszowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/101800
Powiat zduńskowolski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/101900
Powiat zgierski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/102000
Powiat chrzanowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/120300
Powiat myślenicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/120900
Powiat oświęcimski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/121300
Powiat suski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/121500
Powiat wadowicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/121800
Powiat krakowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/120600
Powiat miechowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/120800
Powiat olkuski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/121200
Miasto na prawach powiatu Kraków,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/126100
